config,library,n_seeds,mean_acc,std_acc,cv_pct,min_acc,max_acc,range_pp,same_seed_identical,seed_inert,agg_observed_var,agg_noise_var,agg_genuine_var,agg_snr,normal_genuine_var,normal_snr,dos_genuine_var,dos_snr,probe_genuine_var,probe_snr,r2l_genuine_var,r2l_snr,u2r_genuine_var,u2r_snr,description
lgb_baseline,lightgbm,40,0.6341,0.10799,17.03,0.2943,0.7614,46.7,False,False,0.011662409670990886,9.8970644277652e-06,0.011652512606563121,1177.37,0.02287874388644894,2837.55,0.05268867915762116,2112.42,0.06429389553350967,866.16,0.0035203298569584695,320.0,0.0014733572176022177,18.97,"Submitted configuration, unchanged (subsample=0.8 configured but inactive: bagging_freq=0)."
lgb_rowsub_only_freq0,lightgbm,40,0.6167,0.14305,23.2,0.1797,0.7538,57.4,False,False,0.02046451083108315,9.60326216522361e-06,0.020454907568917925,2130.0,0.06132188522664816,7138.21,0.0507540268664234,1998.1,0.05829673087923063,738.38,0.01811708841723627,994.73,0.012764051804015554,93.99,"Feature subsampling off, row subsampling left as submitted (0.8 with bagging_freq=0). Seed inert here => row subsampling was inactive in the paper."
lgb_no_subsampling,lightgbm,40,0.593,0.11958,20.17,0.2382,0.7448,50.7,False,False,0.014300567238887459,1.0210702035927623e-05,0.01429035653685153,1399.55,0.049876165492137636,5804.01,0.05648624929698339,2218.06,0.044786147216918114,571.83,0.003302173904733599,311.53,0.017647026185945557,253.46,No row or feature subsampling. Isolates whether the seed enters only via subsampling.
lgb_bagging_freq1,lightgbm,40,0.6114,0.13489,22.06,0.259,0.7602,50.1,False,False,0.01819537106164347,9.754489408624719e-06,0.018185616572234845,1864.33,0.07310555941502994,9041.38,0.060323688532564,2657.95,0.06361683868514224,883.72,0.006276046896488148,421.8,0.0027316889892296144,40.6,"Row subsampling actually activated (bagging_freq=1), otherwise as submitted."
lgb_l2_reg1,lightgbm,40,0.7623,0.00345,0.45,0.7557,0.7689,1.3,True,False,1.1887868122418083e-05,8.077556219106605e-06,3.810311903311478e-06,0.47,0.0,0.0,0.0,0.0,0.0001359076586850793,1.47,0.00029131565214801766,8.48,0.0,0.0,L2 leaf regularization set to XGBoost's default (lambda=1); LightGBM default is 0.
lgb_min_child_weight1,lightgbm,40,0.7721,0.0054,0.7,0.7579,0.7809,2.3,True,False,2.9150727689081763e-05,7.833717320540233e-06,2.1317010368541528e-05,2.72,0.0,0.0,7.010478575184863e-05,3.5,6.553886295572833e-05,0.7,0.0008146937135593365,23.33,0.0,0.0,min_sum_hessian_in_leaf set to XGBoost's min_child_weight default (1.0); LightGBM default is 1e-3.
lgb_min_child_samples100,lightgbm,40,0.6725,0.1142,16.98,0.3352,0.7654,43.0,False,False,0.013041432852158795,9.259443238014345e-06,0.01303217340892078,1407.45,0.030152330546363165,4313.41,0.04229388258225107,1872.29,0.047092432614849224,562.75,0.003604898056055905,237.13,0.004445439651670903,37.39,Minimum samples per leaf raised from 20 to 100 (suppresses tiny leaves on rare classes).
lgb_num_leaves15,lightgbm,40,0.7217,0.03736,5.18,0.5865,0.773,18.6,False,False,0.0013959888439999811,8.882694466795093e-06,0.0013871061495331861,156.16,0.0010387007250133632,211.49,0.004872432325886373,190.78,0.020715442047533537,226.33,0.0033528311083680963,152.84,0.0007901697315584815,10.98,Leaf budget halved (31 -> 15).
lgb_num_leaves64,lightgbm,40,0.6462,0.09345,14.46,0.2873,0.7653,47.8,False,False,0.008733804675695072,9.846468474603316e-06,0.008723958207220469,886.0,0.02057118518477003,2555.96,0.0459632129626309,1843.59,0.04198982940237946,491.25,0.001165703527598021,131.49,0.0007548805224455222,10.26,"Leaf budget raised to 2^max_depth (31 -> 64), i.e. leaf-wise growth can fill a full depth-6 tree."
lgb_lr005_400rounds,lightgbm,40,0.738,0.03398,4.6,0.607,0.7673,16.0,False,False,0.0011545343544255451,8.591160702140795e-06,0.0011459431937234043,133.39,0.0019299997399148333,473.0,0.0009094014996200121,37.96,0.008800330071578278,91.57,0.001315016218338299,54.62,0.0022947267520405015,6.71,"Half the learning rate, double the rounds (same total step budget)."
lgb_xgb_matched_reg,lightgbm,40,0.7644,0.00374,0.49,0.7567,0.7746,1.8,True,False,1.395857751016046e-05,8.021530395026876e-06,5.937047115133585e-06,0.74,0.0,0.0,1.0614526518282729e-05,0.49,0.00019072209273755727,2.03,0.0002982500615914139,9.32,0.0,0.0,LightGBM with XGBoost's regularization defaults AND row subsampling active.
xgb_baseline,xgboost,40,0.7764,0.00276,0.36,0.7696,0.7817,1.2,True,False,7.600179312922715e-06,7.763939015939866e-06,0.0,0.0,0.0,0.0,6.84471060989104e-06,0.38,0.00013751530337859503,1.47,0.00018361160061569488,7.23,0.0,0.0,"Submitted configuration, unchanged (depth-wise growth, lambda=1, min_child_weight=1)."
