schema_version,dataset,config,library,seed,aggregate_accuracy,train_time_sec,normal_recall,normal_precision,normal_support,dos_recall,dos_precision,dos_support,probe_recall,probe_precision,probe_support,r2l_recall,r2l_precision,r2l_support,u2r_recall,u2r_precision,u2r_support
rev1.0,nsl_kdd,lgb_baseline,lightgbm,0,0.5866749467707594,2.42,0.6007620224487694,0.9620712401055409,9711,0.9805577902923036,0.4459690206122698,7458,0.032631144155307726,0.9634146341463414,2421,0.0,,2754,0.0,,200
rev1.0,nsl_kdd,lgb_baseline,lightgbm,1,0.7130056777856636,2.27,0.9531459170013387,0.6687861271676301,9711,0.6800750871547332,0.8870234347674012,7458,0.6674927715819909,0.5941176470588235,2421,0.046840958605664486,0.821656050955414,2754,0.005,0.009174311926605505,200
rev1.0,nsl_kdd,lgb_baseline,lightgbm,2,0.7547019162526615,3.26,0.9707548141283081,0.6575294692055521,9711,0.7905604719764012,0.9618270799347471,7458,0.6344485749690211,0.80927291886196,2421,0.05192447349310094,0.9662162162162162,2754,0.06,0.3870967741935484,200
rev1.0,nsl_kdd,lgb_baseline,lightgbm,3,0.6524574166075231,2.66,0.9400679641643497,0.6553952186086582,9711,0.6414588361491016,0.8170794192997438,7458,0.3242461792647666,0.6898066783831283,2421,0.0039941902687000725,0.015193370165745856,2754,0.0,0.0,200
rev1.0,nsl_kdd,lgb_baseline,lightgbm,4,0.6128016323633783,2.45,0.9185459787869427,0.6772968868640851,9711,0.414722445695897,0.8799431009957326,7458,0.6720363486162743,0.5437834224598931,2421,0.0635439360929557,0.11551155115511551,2754,0.0,0.0,200
rev1.0,nsl_kdd,lgb_baseline,lightgbm,5,0.5969215755855216,2.56,0.9650911337658326,0.5545562130177515,9711,0.4313488871010995,0.7572975517890772,7458,0.33044196612969845,0.9090909090909091,2421,0.024691358024691357,0.17346938775510204,2754,0.0,0.0,200
rev1.0,nsl_kdd,lgb_baseline,lightgbm,6,0.61124911284599,2.7,0.7930182267531665,0.6913546997037436,9711,0.5927862697774202,0.8616254141492886,7458,0.6815365551425031,0.29411764705882354,2421,0.0,0.0,2754,0.04,0.01238390092879257,200
rev1.0,nsl_kdd,lgb_baseline,lightgbm,7,0.6970812633073101,2.55,0.9291525074657605,0.630714385572487,9711,0.7291499061410566,0.8423172242874845,7458,0.5179677819083024,0.7468731387730793,2421,0.0,0.0,2754,0.0,0.0,200
rev1.0,nsl_kdd,lgb_baseline,lightgbm,8,0.7062189496096523,2.54,0.8852847286582226,0.64917314807823,9711,0.799812282113167,0.877722189523249,7458,0.5439900867410161,0.690251572327044,2421,0.011982570806100218,0.19186046511627908,2754,0.045,0.021176470588235293,200
rev1.0,nsl_kdd,lgb_baseline,lightgbm,9,0.6147090134847409,2.43,0.7994027391617753,0.669454984477406,9711,0.797801019039957,0.551641016132023,7458,0.05989260636100785,0.8950617283950617,2421,0.0,,2754,0.0,,200
