dataset,architecture,category,recall_std,aggregate_accuracy_std,levene_stat,p_raw,p_bh,significant_bh,std_ratio_effect_size
nsl_kdd,dnn,normal,0.016609624629579916,0.009353897840122364,3.04749462553366,0.08479944255606715,0.14133240426011193,False,1.7756901896378456
nsl_kdd,dnn,dos,0.013483134456701585,0.009353897840122364,0.0059558343540741035,0.9386827037927493,0.9386827037927493,False,1.4414455542658786
nsl_kdd,dnn,probe,0.03507434122450913,0.009353897840122364,41.97012979906129,7.60030004394742e-09,3.800150021973709e-08,True,3.7497032599674296
nsl_kdd,dnn,r2l,0.013248889165442366,0.009353897840122364,0.9605678428102504,0.3300740311774864,0.412592538971858,False,1.4164030217021324
nsl_kdd,dnn,u2r,0.03242743377972518,0.009353897840122364,15.921029395098756,0.00014803703455693436,0.00037009258639233587,True,3.4667295211020797
nsl_kdd,random_forest,normal,0.0002853063959751234,0.005710988401382768,43.78581242421936,4.1769100427459745e-09,2.0884550213729872e-08,True,0.049957446228755045
nsl_kdd,random_forest,dos,0.01717440324531752,0.005710988401382768,24.835107132067076,3.67746590254101e-06,6.12910983756835e-06,True,3.007255844042545
nsl_kdd,random_forest,probe,0.008217717247073465,0.005710988401382768,5.724737430077264,0.019133075862980818,0.02391634482872602,True,1.438930824143113
nsl_kdd,random_forest,r2l,0.01205191651270612,0.005710988401382768,32.65534991261099,1.923701333501495e-07,4.809253333753737e-07,True,2.1103030974092083
nsl_kdd,random_forest,u2r,0.00466162731573098,0.005710988401382768,1.2085472713310106,0.27500159810790115,0.27500159810790115,False,0.8162557841305171
nsl_kdd,xgboost,normal,0.0002187405145087832,0.00275684227204291,62.79227699813442,1.319611371347577e-11,3.299028428368942e-11,True,0.07934458809161009
nsl_kdd,xgboost,dos,0.004972688101516859,0.00275684227204291,1.014732177334663,0.3168866058516046,0.3168866058516046,False,1.8037622797447654
nsl_kdd,xgboost,probe,0.015195093714348335,0.00275684227204291,60.78521260486321,2.330048606928429e-11,3.883414344880715e-11,True,5.511774782489923
nsl_kdd,xgboost,r2l,0.014456900705113844,0.00275684227204291,84.9989085947305,4.0506332773046415e-14,2.0253166386523206e-13,True,5.244007193201085
nsl_kdd,xgboost,u2r,0.008737628616859028,0.00275684227204291,19.028890860220752,3.89766550351856e-05,4.8720818793982e-05,True,3.169433632626418
nsl_kdd,lightgbm,normal,0.13351119417083918,0.09031800991218839,0.05112727427413289,0.8217046827054606,0.8217046827054606,False,1.4782344551285544
nsl_kdd,lightgbm,dos,0.19321483700414088,0.09031800991218839,3.469968408764392,0.06625743937526432,0.0828217992190804,False,2.139272523741321
nsl_kdd,lightgbm,probe,0.25168273428266735,0.09031800991218839,19.12733001755361,3.739578163112204e-05,0.0001869789081556102,True,2.7866284313324186
nsl_kdd,lightgbm,r2l,0.05316899197839706,0.09031800991218839,4.463609258733372,0.03782310340555343,0.06303850567592238,False,0.5886864871147025
nsl_kdd,lightgbm,u2r,0.06329000711012758,0.09031800991218839,4.683136900227617,0.03352009783327106,0.06303850567592238,False,0.7007462539493645
nsl_kdd,logistic_regression,normal,0.0,0.0,,,,False,inf
nsl_kdd,logistic_regression,dos,0.0,0.0,,,,False,inf
nsl_kdd,logistic_regression,probe,0.0,0.0,,,,False,inf
nsl_kdd,logistic_regression,r2l,0.0,0.0,,,,False,inf
nsl_kdd,logistic_regression,u2r,0.0,0.0,,,,False,inf
nsl_kdd,shallow_mlp,normal,0.01102491306879046,0.006447953672270928,0.8115811397249206,0.37042640084386075,0.37042640084386075,False,1.7098313091489001
nsl_kdd,shallow_mlp,dos,0.008704458625615535,0.006447953672270928,3.887562648652692,0.052190719088355715,0.06523839886044464,False,1.3499567565208452
nsl_kdd,shallow_mlp,probe,0.040839630668886344,0.006447953672270928,91.0966629662209,9.521536582562362e-15,4.7607682912811804e-14,True,6.3337351266208595
nsl_kdd,shallow_mlp,r2l,0.014882825925638044,0.006447953672270928,6.083592501854659,0.015837653197768073,0.02639608866294679,True,2.30814715521931
nsl_kdd,shallow_mlp,u2r,0.018041529726489237,0.006447953672270928,16.58247958954971,0.00011092452410800599,0.00027731131027001495,True,2.7980240931438214
