config,n_jobs,mode,seed,repeat,accuracy,pred_hash,train_time_sec
baseline,-1,same_seed,0,0,0.7230748757984387,f84253685392,2.7
baseline,-1,same_seed,0,1,0.35335344215755854,27adfae845f4,2.3
baseline,-1,same_seed,0,2,0.7016057487579844,5115d934aca2,2.6
baseline,-1,same_seed,0,3,0.7254701916252662,3b6543d5a426,2.7
baseline,-1,same_seed,0,4,0.7460078069552875,d796b96c9459,2.5
baseline,-1,same_seed,0,5,0.6159510290986515,6c7a8e652adc,2.4
baseline,-1,different_seeds,0,0,0.6134226401703335,eedcd804d882,2.6
baseline,-1,different_seeds,1,0,0.6838626685592619,c79fbe12dfd9,2.5
baseline,-1,different_seeds,2,0,0.7547019162526615,08f553dd0b95,3.5
baseline,-1,different_seeds,3,0,0.6098296664300923,76aea0f3b7f5,2.9
baseline,-1,different_seeds,4,0,0.692068843151171,ef3479371e3d,2.3
baseline,-1,different_seeds,5,0,0.6908268275372604,8dc3c1608ba2,2.7
baseline,-1,different_seeds,6,0,0.7487136266855926,0b51ba3aea4a,2.8
baseline,-1,different_seeds,7,0,0.6847941802696949,2b0f444069df,2.7
baseline,1,same_seed,0,0,0.6147977288857346,20411e82106f,6.4
baseline,1,same_seed,0,1,0.6147977288857346,20411e82106f,6.4
baseline,1,same_seed,0,2,0.6147977288857346,20411e82106f,6.4
baseline,1,same_seed,0,3,0.6147977288857346,20411e82106f,6.6
baseline,1,same_seed,0,4,0.6147977288857346,20411e82106f,6.6
baseline,1,same_seed,0,5,0.6147977288857346,20411e82106f,6.4
baseline,1,different_seeds,0,0,0.6147977288857346,20411e82106f,6.4
baseline,1,different_seeds,1,0,0.7019606103619588,33aa3493c710,6.0
baseline,1,different_seeds,2,0,0.7547019162526615,08f553dd0b95,6.7
baseline,1,different_seeds,3,0,0.7374024130589071,16105f9c6776,6.8
baseline,1,different_seeds,4,0,0.5222675656493967,efcda2fbe8c9,5.9
baseline,1,different_seeds,5,0,0.7555890702625976,9923a76947a5,6.8
baseline,1,different_seeds,6,0,0.7684528034066714,bb88abed936f,6.3
baseline,1,different_seeds,7,0,0.7177519517388219,e564395b979d,6.6
no_subsampling,-1,same_seed,0,0,0.718860894251242,0af370f23518,2.7
no_subsampling,-1,same_seed,0,1,0.49037437899219305,eea708b9082a,2.6
no_subsampling,-1,same_seed,0,2,0.5803317955997161,6cc359b3e798,2.8
