config,n_jobs,mode,n_fits,distinct_prediction_vectors,acc_min,acc_max,acc_std,acc_range_pp
baseline,-1,different_seeds,8,8,0.6098296664300923,0.7547019162526615,0.05315280036346166,14.5
baseline,-1,same_seed,6,6,0.35335344215755854,0.7460078069552875,0.1495834567429668,39.3
baseline,1,different_seeds,8,8,0.5222675656493967,0.7684528034066714,0.08555929761577158,24.6
baseline,1,same_seed,6,1,0.6147977288857346,0.6147977288857346,0.0,0.0
baseline_deterministic_flag,-1,different_seeds,8,8,0.4724095102909865,0.7561213626685592,0.10089101045920394,28.4
baseline_deterministic_flag,-1,same_seed,6,1,0.6560060326472675,0.6560060326472675,0.0,0.0
baseline_deterministic_flag,1,different_seeds,8,8,0.5222675656493967,0.7684528034066714,0.08555929761577158,24.6
baseline_deterministic_flag,1,same_seed,6,1,0.6147977288857346,0.6147977288857346,0.0,0.0
l2_reg1,-1,different_seeds,8,8,0.7558108587650816,0.7634847409510291,0.002317147823191567,0.8
l2_reg1,-1,same_seed,6,1,0.7619765791341376,0.7619765791341376,0.0,0.0
l2_reg1,1,different_seeds,8,8,0.7558108587650816,0.7634847409510291,0.002317147823191567,0.8
l2_reg1,1,same_seed,6,1,0.7619765791341376,0.7619765791341376,0.0,0.0
no_subsampling,-1,different_seeds,8,8,0.386222498225692,0.7314141234918382,0.1445836595200987,34.5
no_subsampling,-1,same_seed,6,6,0.48904364797728883,0.7263129879347054,0.11173683946862487,23.7
no_subsampling,1,different_seeds,8,1,0.6886533002129169,0.6886533002129169,0.0,0.0
no_subsampling,1,same_seed,6,1,0.6886533002129169,0.6886533002129169,1.2161883888976234e-16,0.0
