partition_id,architecture,n_seeds,mean_acc,std_acc,cv_pct,min_acc,max_acc,range_pp,agg_observed_var,agg_noise_var,agg_genuine_var,agg_snr,normal_genuine_var,normal_snr,dos_genuine_var,dos_snr,probe_genuine_var,probe_snr,r2l_genuine_var,r2l_snr,u2r_genuine_var,u2r_snr
0,lightgbm,40,0.619,0.14123,22.82,0.1484,0.7622,61.4,0.019945164935685118,9.653128644417593e-06,0.0199355118070407,2065.19,0.08913274719825101,13315.03,0.058964427189252544,2635.48,0.06667258805643198,894.13,0.001501851398211492,151.87,0.0005360797452259953,9.71
1,lightgbm,40,0.973,0.02161,2.22,0.8812,0.9964,11.5,0.00046692192766180346,1.1623332858034355e-06,0.000465759594376,400.71,0.0008574212832773774,467.37,0.00023356966449658212,126.78,0.0018026097750812465,78.71,0.010038464916628517,47.34,0.059133562199265105,12.11
2,lightgbm,40,0.9832,0.0152,1.55,0.936,0.9962,6.0,0.0002310451168721558,7.168925820511209e-07,0.00023032822429010466,321.29,0.00013593701306464782,123.53,0.0001606450786054891,132.32,0.002367636233946196,165.49,0.0029757136369578897,18.71,0.04937792221691114,11.57
3,lightgbm,40,0.9747,0.04568,4.69,0.7135,0.9964,28.3,0.0020870373243758442,1.012215854876097e-06,0.0020860251085209683,2060.85,0.00011424166565120784,108.82,0.013349903387861623,7209.37,0.005513588274758621,305.2,0.004030368279726989,20.86,0.05725101107793281,12.41
4,lightgbm,40,0.9805,0.02303,2.35,0.9057,0.9964,9.1,0.0005301729415776432,8.362524807813182e-07,0.0005293366890968619,632.99,0.0001771734994499636,173.08,0.0017098342627158006,858.2,0.002181571832594214,163.16,0.009552025424932829,58.58,0.0358219680766426,6.76
5,lightgbm,40,0.9834,0.01739,1.77,0.9344,0.9969,6.2,0.00030248817973754435,7.168239831759428e-07,0.0003017713557543684,420.98,0.00019673214248948074,190.01,0.00021389162698790595,168.03,0.001122126378257429,86.56,0.005690475450573485,34.66,0.04572965200177804,9.27
0,xgboost,40,0.7764,0.00276,0.36,0.7696,0.7817,1.2,7.600179312922715e-06,7.763939015939866e-06,0.0,0.0,0.0,0.0,6.84471060989104e-06,0.38,0.00013751530337859503,1.47,0.00018361160061569488,7.23,0.0,0.0
1,xgboost,40,0.9962,0.00011,0.01,0.996,0.9964,0.0,1.246024080566946e-08,1.7036141814465441e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,xgboost,40,0.996,0.00011,0.01,0.9958,0.9963,0.0,1.3016467771487039e-08,1.7663995428445684e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,xgboost,40,0.9965,0.00011,0.01,0.9962,0.9967,0.0,1.1320038590029498e-08,1.5566547891574765e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,xgboost,40,0.9965,9e-05,0.01,0.9963,0.9967,0.0,8.354756057977421e-09,1.5481623217672672e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,xgboost,40,0.9967,0.0001,0.01,0.9965,0.9969,0.0,1.095300446972834e-08,1.477277312436556e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
