architecture,subset,n_instances,n_seeds,mean_acc,std_acc,cv_pct,min_acc,max_acc,range_pp,agg_observed_var,agg_noise_var,agg_genuine_var,agg_snr,normal_genuine_var,normal_snr,dos_genuine_var,dos_snr,probe_genuine_var,probe_snr,r2l_genuine_var,r2l_snr,normal_n,dos_n,probe_n,r2l_n,u2r_n,u2r_genuine_var,u2r_snr
dnn,overlap,664,40,0.9232,0.00278,0.3,0.9172,0.9277,1.1,7.733377904574696e-06,0.00010681778130785383,0.0,0.0,0.0,0.0,1.2448747978747987e-05,1.61,0.0,0.0,0.0,degenerate,105,400,130,29,0,,
dnn,non_overlap,21880,40,0.7663,0.00965,1.26,0.741,0.7833,4.2,9.311608097067218e-05,8.205254695993717e-06,8.491082627467846e-05,10.35,0.00027842859228943034,74.68,0.00018361924723364265,8.85,0.0012747949377137305,12.64,0.00014853266256745765,4.83,9606,7058,2291,2725,200,0.0006578821370890123,1.67
dnn,all,22544,40,0.7709,0.00935,1.21,0.7465,0.7874,4.1,8.749540480344584e-05,7.82706154526728e-06,7.966834325817855e-05,10.18,0.0002720015280935196,70.14,0.0001632425668599137,8.8,0.001137155777300062,12.22,0.00014531081355954891,4.81,9711,7458,2421,2754,200,0.0006578821370890123,1.67
random_forest,overlap,664,40,0.9272,0.00121,0.13,0.9247,0.9292,0.5,1.459731418724052e-06,0.00010178352031311689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,degenerate,0.0,degenerate,105,400,130,29,0,,
random_forest,non_overlap,21880,40,0.7416,0.00588,0.79,0.7335,0.7574,2.4,3.461254379174633e-05,8.754483530994474e-06,2.585806026075186e-05,2.95,0.0,0.0,0.0003037478768074384,11.91,0.0,0.0,0.00013485303803126544,9.99,9606,7058,2291,2725,200,0.0,0.0
random_forest,all,22544,40,0.747,0.00571,0.76,0.7391,0.7624,2.3,3.261538852072851e-05,8.433773669173098e-06,2.418161485155541e-05,2.87,0.0,0.0,0.00027201939810472873,11.86,0.0,0.0,0.00013196771680288626,9.94,9711,7458,2421,2754,200,0.0,0.0
xgboost,overlap,664,40,0.9264,0.0007,0.08,0.9247,0.9277,0.3,4.870617781599176e-07,0.00010284522704724977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,degenerate,0.0,degenerate,105,400,130,29,0,,
xgboost,non_overlap,21880,40,0.7718,0.00284,0.37,0.7649,0.7773,1.2,8.078799766581153e-06,8.063754225183609e-06,1.5045541397544528e-08,0.0,0.0,0.0,7.641182913942561e-06,0.38,0.0001561201541334837,1.53,0.00018762110408129766,7.26,9606,7058,2291,2725,200,0.0,0.0
xgboost,all,22544,40,0.7764,0.00276,0.36,0.7696,0.7817,1.2,7.600179312922715e-06,7.763939015939866e-06,0.0,0.0,0.0,0.0,6.84471060989104e-06,0.38,0.00013751530337859503,1.47,0.00018361160061569488,7.23,9711,7458,2421,2754,200,0.0,0.0
lightgbm,overlap,664,40,0.678,0.20325,29.98,0.2018,0.9262,72.4,0.041309339245303736,0.00026713227235073653,0.041042206972953,153.64,0.043859931656582446,37.03,0.06761041675145098,207.61,0.15678423059119656,223.96,0.0009039786768383676,4.05,105,400,130,29,0,,
lightgbm,non_overlap,21880,40,0.6674,0.08821,13.22,0.4422,0.7693,32.7,0.00778016861375562,9.707589563733544e-06,0.0077704610241918865,800.45,0.01766220033689192,2303.03,0.03687602862095367,1467.36,0.061461026386533495,756.42,0.002877301300709203,248.58,9606,7058,2291,2725,200,0.0038801412118368373,30.92
lightgbm,all,22544,40,0.6677,0.09032,13.53,0.4406,0.7731,33.3,0.00815734291449816,9.55679455673664e-06,0.008147786119941422,852.56,0.01781746356613463,2291.52,0.03730835575625541,1579.69,0.06326800067389893,830.31,0.002815563776803083,247.46,9711,7458,2421,2754,200,0.0038801412118368373,30.92
logistic_regression,overlap,664,40,0.863,0.0,0.0,0.863,0.863,0.0,1.2642001686234162e-32,0.00017839801017494844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,degenerate,0.0,degenerate,105,400,130,29,0,,
logistic_regression,non_overlap,21880,40,0.7401,0.0,0.0,0.7401,0.7401,0.0,0.0,8.814663892504445e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9606,7058,2291,2725,200,0.0,0.0
logistic_regression,all,22544,40,0.7437,0.0,0.0,0.7437,0.7437,0.0,0.0,8.501414529005138e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9711,7458,2421,2754,200,0.0,0.0
shallow_mlp,overlap,664,40,0.9236,0.00241,0.26,0.9172,0.9277,1.1,5.786584707690748e-06,0.00010608268538761222,0.0,0.0,0.0,0.0,9.767648032648e-06,1.52,0.0,0.0,0.0,degenerate,105,400,130,29,0,,
shallow_mlp,non_overlap,21880,40,0.7583,0.00666,0.88,0.7471,0.7819,3.5,4.4379535409216857e-05,8.438920686828976e-06,3.594061472238788e-05,4.26,0.00011843834746984145,20.4,6.50449906402703e-05,3.31,0.001760719769054302,17.2,0.0001970343768442615,6.75,9606,7058,2291,2725,200,0.0,0.0
shallow_mlp,all,22544,40,0.7632,0.00645,0.84,0.7523,0.7861,3.4,4.1576106559752155e-05,8.026880417250093e-06,3.3549226142502063e-05,4.18,0.00011566092475262491,19.64,5.80431912956144e-05,3.27,0.00157363071036262,16.7,0.00019244976874065867,6.63,9711,7458,2421,2754,200,0.0,0.0
