architecture,metric,full_mean,n_seeds_available,seeds_for_hw_le_0.01,seeds_for_hw_le_0.005,frac_confidently_wrong_at_5_seeds
dnn,aggregate_accuracy,0.7708836053938963,40,10,20,0.06
dnn,normal_recall,0.9610544743074863,40,20,>40,0.128
dnn,dos_recall,0.8315634218289084,40,10,30,0.115
dnn,probe_recall,0.6501032631144156,40,>40,>40,0.031
dnn,r2l_recall,0.09186637618010163,40,10,30,0.024
dnn,u2r_recall,0.0865,40,>40,>40,0.046
random_forest,aggregate_accuracy,0.7470435592618878,40,5,10,0.079
random_forest,normal_recall,0.9738054783235505,40,3,3,0.048
random_forest,dos_recall,0.7788213998390989,40,20,>40,0.05
random_forest,probe_recall,0.6064952498967369,40,5,20,0.06
random_forest,r2l_recall,0.03812636165577338,40,10,30,0.055
random_forest,u2r_recall,0.014750000000000003,40,5,10,0.04
xgboost,aggregate_accuracy,0.7763595635202272,40,3,5,0.057
xgboost,normal_recall,0.9718592317989907,40,3,3,0.051
xgboost,dos_recall,0.8396185304371144,40,3,10,0.187
xgboost,probe_recall,0.6542854192482445,40,20,40,0.05
xgboost,r2l_recall,0.07598946986201885,40,20,40,0.04
xgboost,u2r_recall,0.04675,40,5,20,0.028
lightgbm,aggregate_accuracy,0.6677319907735983,40,>40,>40,0.154
lightgbm,normal_recall,0.8964730717742766,40,>40,>40,0.307
lightgbm,dos_recall,0.693148297130598,40,>40,>40,0.126
lightgbm,probe_recall,0.4436080132176786,40,>40,>40,0.084
lightgbm,r2l_recall,0.035693536673928786,40,>40,>40,0.188
lightgbm,u2r_recall,0.029625000000000002,40,>40,>40,0.286
logistic_regression,aggregate_accuracy,0.7437455642299503,40,3,3,0.0
logistic_regression,normal_recall,0.9293584594789414,40,3,3,0.0
logistic_regression,dos_recall,0.7995441137034057,40,3,3,0.0
logistic_regression,probe_recall,0.7253201156546881,40,3,3,0.0
logistic_regression,r2l_recall,0.0021786492374727,40,3,3,0.0
logistic_regression,u2r_recall,0.085,40,3,3,0.0
shallow_mlp,aggregate_accuracy,0.7631764549325764,40,5,10,0.041
shallow_mlp,normal_recall,0.9393600041190403,40,10,30,0.218
shallow_mlp,dos_recall,0.8420588629659426,40,10,20,0.039
shallow_mlp,probe_recall,0.6385687732342007,40,>40,>40,0.05
shallow_mlp,r2l_recall,0.08725490196078427,40,20,40,0.065
shallow_mlp,u2r_recall,0.082875,40,20,>40,0.053
